Date,Total,Desktop,Android,Desktop/nightly,Desktop/aurora,Desktop/beta,Desktop/release,Android/nightly,Android/aurora,Android/beta,Android/release
2015-07-28,102171781,97576905,4594876,45427,109927,2097054,95324497,1061,1136,91436,4501243
2015-07-29,101948209,97380251,4567958,45939,110979,2125490,95097843,1048,1089,91938,4473883
2015-07-30,100411226,95849460,4561766,45413,109543,2048817,93645687,1027,1074,89958,4469707
2015-07-31,94745458,90199462,4545996,43120,103883,1941050,88111409,1066,1095,89614,4454221
2015-08-01,73018375,68602344,4416031,36540,77403,1691187,66797214,1038,1080,88136,4325777
2015-08-02,72700278,68236781,4463497,37125,77172,1440879,66681605,1061,1112,89815,4371509
2015-08-03,101558818,96975597,4583221,45268,109220,2158137,94662972,1091,1108,86172,4494850
2015-08-04,101725143,97104749,4620394,45792,110525,2170877,94777555,1105,1094,87516,4530679
2015-08-05,99132614,94531397,4601217,45765,110704,2176168,92198760,1121,1109,88652,4510335
2015-08-06,97777379,93272954,4504425,45058,109425,2125340,90993131,1103,1140,88203,4413979
2015-08-07,92687941,88189656,4498285,42870,104583,2002355,86039848,1148,1186,88058,4407893
2015-08-08,71994508,67601945,4392563,36099,78565,1703958,65783323,1120,1093,87295,4303055
2015-08-09,72176456,67732464,4443992,37187,78699,1478006,66138572,1102,1175,88130,4353585
2015-08-10,100524914,95959268,4565646,45505,110489,2172948,93630326,1129,1162,88787,4474568
2015-08-11,99726405,95132256,4594149,45271,112097,2139215,92835673,1152,1172,90088,4501737
2015-08-12,98998462,94424154,4574308,45115,111856,2169047,92098136,1193,1214,90608,4481293
2015-08-13,94165641,89616827,4548814,44295,109485,2138924,87324123,1131,1219,90816,4455648
2015-08-14,90007629,85431277,4576352,42500,104891,1987482,83296404,1159,1205,91172,4482816
2015-08-15,69222056,64745799,4476257,35952,78867,1520651,63110329,1139,1344,89114,4384660
2015-08-16,71683003,67135981,4547022,37292,81264,1471643,65545782,1181,1486,90964,4453391
2015-08-17,98176798,93534180,4642618,44872,112693,2089688,91286927,1184,1420,89175,4550839
2015-08-18,99424816,94764251,4660565,45888,115343,2212419,92390601,1191,1454,90688,4567232
2015-08-19,98663103,94006826,4656277,45870,114530,2223190,91623236,1234,1419,90489,4563135
2015-08-20,96659822,92215953,4443869,45192,113015,2160658,89897088,1208,1383,90870,4350408
2015-08-21,91865674,87447656,4418018,43781,107963,2021756,85274156,1212,1342,90148,4325316
2015-08-22,71528619,67178513,4350106,37050,81936,1755796,65303731,1150,1394,89708,4257854
2015-08-23,73212771,68773647,4439124,38024,82417,1513440,67139766,1165,1408,91742,4344809
2015-08-24,102870868,98320516,4550352,47049,116333,2260168,95896966,1210,1410,90802,4456930
2015-08-25,102780041,98215233,4564808,47348,117005,2243198,95807682,1186,1443,91385,4470794
2015-08-26,101580080,97019621,4560459,46833,116412,2206879,94649497,1256,1401,92158,4465644
2015-08-27,101134515,96550825,4583690,46961,115541,2143572,94244751,1203,1396,93279,4487812
2015-08-28,95572783,91037704,4535079,44639,109674,1978955,88904436,1204,1378,91596,4440901
2015-08-29,72914183,68493418,4420765,37544,81599,1620752,66753523,1208,1364,90202,4327991
2015-08-30,74629809,70129528,4500281,38595,82583,1491213,68517137,1186,1409,91655,4406031
2015-08-31,104906039,100268992,4637047,44037,106199,2050574,98068182,1075,1113,89841,4545018
2015-09-01,106146187,101486492,4659695,44464,109037,2084060,99248931,1048,1148,90841,4566658
2015-09-02,105224913,100577525,4647388,44481,109276,2059578,98364190,1109,1144,91044,4554091
2015-09-03,103976084,99340971,4635113,44373,108057,2081325,97107216,1066,1144,90742,4542161
2015-09-04,98438772,93829996,4608776,42348,103032,1955235,91729381,1069,1125,90961,4515621
2015-09-05,75183044,70672965,4510079,35785,77014,1635514,68924652,1046,1214,89996,4417823
2015-09-06,76626357,72085525,4540832,36528,78321,1457393,70513283,1020,1154,90791,4447867
2015-09-07,101068557,96431073,4637484,44106,104068,2189332,94093567,1052,1199,92515,4542718
2015-09-08,107967735,103297699,4670036,45311,110939,2182673,100958776,1118,1153,90835,4576930
2015-09-09,107994487,103299250,4695237,45027,111622,2189465,100953136,1129,1216,92313,4600579
