Date,Desktop,Android
2017-01-11,-7715371.714285716,2277136
2017-01-12,-8291510.571428567,2241677.7142857146
2017-01-13,-7769902.714285716,2202449.2857142854
2017-01-14,-8205109.142857149,2161141.428571428
2017-01-15,-8238076.142857134,2125273.8571428573
2017-01-16,-8405353,2085145.1428571427
2017-01-17,-7239962,2106058.1428571427
2017-01-18,-6315247.714285716,2121951.571428572
2017-01-19,-5795457.428571433,2127491.1428571427
2017-01-20,-5506090,2150869.7142857136
2017-01-21,-5091971.428571433,2166894.8571428563
2017-01-22,-4788443.571428567,2182051.8571428573
2017-01-23,-4460282.857142851,2197297.8571428573
2017-01-26,-10306763.742857143,2215499.8285714285
2017-01-27,-11089457.485714287,2223744.771428572
2017-01-28,-11708610.599999994,2211248.2
2017-01-29,-12186388,2200326.771428572
2017-01-30,-12799955.400000006,2191196.457142857
2017-01-31,-10619720.214285716,2183948.928571428
2017-02-01,-9426615,2173532.571428572
2017-02-02,-9117371,2156248.7142857136
2017-02-03,-8679575.85714285,2146518.2857142854
2017-02-04,-8164542.428571433,2159156
2017-02-05,-7732879.571428567,2169192
2017-02-06,-7062153.428571418,2182522.8571428573
2017-02-07,-8259077.428571433,1964512.8571428573
2017-02-09,-8437666.452380955,2004633.0952380951
2017-02-10,-8072418.261904761,2081861.7142857146
2017-02-11,-8128926.595238104,2146384.2142857146
2017-02-12,-7228716.261904761,2274517.428571428
2017-02-13,-7321742.452380955,2326269.5238095243
2017-02-14,-5388578.404761896,2637692.3571428573
2017-02-15,-4902909.714285716,2631043.428571428
2017-02-16,-5395750.714285716,2608531.428571428
2017-02-17,-5899127.571428567,2572572.8571428573
2017-02-18,-6299698.571428567,2544143.571428572
2017-02-19,-7811904.428571433,2444414
2017-02-20,-8154837.428571433,2422879
2017-02-21,-8367335.285714284,2389823.2857142854
2017-02-22,-8400072.85714285,2371372.1428571427
2017-02-23,-8971531.285714284,2363023.571428571
2017-02-24,-9580764.85714285,2358303.428571428
2017-02-25,-9855919,2343567.7142857146
2017-02-26,-9820676.14285715,2329585
2017-02-27,-10835199.857142866,2308389.8571428573
2017-02-28,-12027973.571428567,2315455.8571428573
2017-03-01,-12678735,2195247.1428571437
2017-03-02,-12729669.714285716,2064425.2857142864
2017-03-03,-12669744.428571418,1995053.2857142854
2017-03-04,-12808495.428571418,1935831.5714285718
2017-03-05,-12896126.428571433,1880535.8571428573
2017-03-06,-11969627.14285715,1830440
2017-03-07,-10885230.714285702,1781228.7142857146
2017-03-08,-10886799.85714285,1843462.7142857146
2017-03-09,-10852828.857142866,1906933.8571428573
2017-03-10,-11249106.285714284,1914006.8571428563
2017-03-11,-11605641.14285715,1905423.1428571437
2017-03-12,-11997563,1877226.5714285718
2017-03-13,-13012642.428571433,1818313.428571429
2017-03-14,-14171478.857142866,1736515.4285714282
2017-03-15,-14711531.285714284,1645934.428571429
2017-03-16,-15346918.285714298,1541969.5714285718
2017-03-17,-15392505.571428567,1434914.7142857136
2017-03-18,-15109551,1349123.5714285718
2017-03-19,-14884018.714285716,1266045.4285714282
2017-03-20,-17865004,951123.7142857146
2017-03-21,-17481188.85714285,905296
2017-03-22,-17150816,867586.1428571437
2017-03-23,-16646921.428571433,846323.4285714291
2017-03-24,-15633669,825301.1428571427
2017-03-25,-13811875,787450.8571428573
2017-03-26,-13574880.14285715,768615.1428571427
2017-03-27,-9451706.714285716,1020228
2017-03-28,-8005573.857142851,998327.7142857146
2017-03-29,-8057016.714285716,978908.7142857136
2017-03-30,-8327540,956764.2857142864
2017-03-31,-9284528.14285715,929982
2017-04-01,-11194761.85714285,910334.7142857146
2017-04-02,-11576862.142857134,883414.1428571427
2017-04-03,-12544496.857142866,860445.7142857136
2017-04-04,-14280806.285714284,851344.2857142854
2017-04-05,-14417368.285714298,838056
2017-04-06,-14593070,827187.1428571427
2017-04-07,-14772643.14285715,825718.4285714291
2017-04-08,-14994508.428571433,821223.4285714282
2017-04-09,-15277363.571428582,815146.8571428573
2017-04-10,-15677467.571428567,808540
2017-04-11,-16067409.571428567,804983
2017-04-12,-16652446.85714285,793147.8571428573
2017-04-13,-17765877.714285716,781820.2857142864
2017-04-14,-19920309.85714285,762024.4285714282
2017-04-15,-20351952.428571433,757745.7142857146
2017-04-16,-20946471.142857134,758220.2857142854
2017-04-17,-22337889.428571433,759799.5714285709
2017-04-18,-22709828.85714285,770088.5714285709
2017-04-19,-22838774.428571418,799774.8571428573
2017-04-20,-22331727.571428567,876751.5714285709
2017-04-21,-20530274,955062.1428571437
2017-04-22,-20165824.428571433,1020033
2017-04-23,-19567306.7142857,1084655.571428571
2017-04-24,-18538526.571428567,1120197.2857142854
2017-04-25,-18451826.85714285,1147927.2857142864
2017-04-26,-18360991.14285715,1164729.7142857136
2017-04-27,-18283374.571428567,1122220.8571428573
2017-04-28,-18378909.428571433,1086991.1428571427
2017-04-29,-18486387.142857134,1054483.8571428573
2017-04-30,-18725314.857142866,1012608
2017-05-01,-20702397.857142866,997761.4285714291
2017-05-02,-19279121.14285715,989650.2857142854
2017-05-03,-17980578.428571433,968811.4285714291
2017-05-04,-16919275.14285715,940240.1428571427
2017-05-05,-14927398,909439.2857142854
2017-05-06,-13699629.285714298,872633.4285714282
2017-05-07,-12643357.714285702,864266.8571428563
2017-05-08,-9798934.571428582,842661
2017-05-09,-10116584.285714284,801898
2017-05-10,-10824412,780983.5714285709
2017-05-11,-11405491.285714284,790638.7142857136
2017-05-12,-12827155.714285716,806598.4285714291
2017-05-13,-13734368.285714284,828838.2857142854
2017-05-14,-14207927.285714284,836334.4285714282
2017-05-15,-14127916.714285716,855665.5714285718
2017-05-16,-13947528,873918.5714285709
2017-05-17,-14170176.85714285,890478.5714285709
2017-05-18,-14192213,897168.4285714291
2017-05-19,-14320767.285714284,892928.1428571427
2017-05-20,-14411134.714285716,883095.5714285709
2017-05-21,-14230578.428571433,882420.7142857146
2017-05-22,-14416562.85714285,870720.5714285709
2017-05-23,-15294804.85714285,862060
2017-05-24,-15472716,851567.8571428573
2017-05-25,-16455615.428571418,833051
2017-05-26,-16261864,817459.4285714282
2017-05-27,-15914865.714285716,864254
2017-05-28,-16002495.85714285,921172
