Date,Desktop/Delta,Desktop/Delta%,Android/Delta,Android/Delta%,Total/Delta,Total/Delta%
2015-10-12,-6427247.700000003,-7.205217771201282,571554.5333333332,12.574189101157879,-5855693.16666667,-0.06246196420964022
2015-10-13,-6377656.51111111,-7.141094115735398,572045.2888888884,12.574551963432512,-5805611.222222222,-0.06185495613294433
2015-10-14,-6339140.244444445,-7.088197560567146,572227.666666666,12.56728196421028,-5766912.577777779,-0.061359505476961354
2015-10-15,-6226518.799999997,-6.946782270010768,572340.1333333333,12.556662515712338,-5654178.666666664,-0.06002965624701924
2015-10-16,-6011539.833333343,-6.679465264553014,572355.9666666663,12.54182588923026,-5439183.8666666765,-0.05751861165347085
2015-10-17,-6257381.644444451,-6.946346610140015,569920.9222222222,12.478123519872183,-5687460.722222229,-0.060090035821873854
2015-10-18,-6536806.799999997,-7.274697313808789,567898.6444444442,12.425983400863453,-5968908.155555553,-0.06321187682416139
2015-10-19,-6150366.5,-6.83447667172499,566316.0111111109,12.381526309440808,-5584050.48888889,-0.059050373808457436
2015-10-20,-6114240.733333334,-6.784633405696786,564379.7555555552,12.328350097741763,-5549860.977777779,-0.05860660175439606
2015-10-21,-6094319.611111119,-6.753442003220813,562116.3222222221,12.269428555801676,-5532203.288888898,-0.05834325732022867
2015-10-22,-6029152.133333325,-6.6697342736834475,559529.0444444441,12.203456762857373,-5469623.088888882,-0.05758668407012266
2015-10-23,-5832691.3888888955,-6.429201315658182,557635.3666666667,12.149757058762328,-5275056.022222228,-0.0553454022570495
2015-10-24,-6091614.777777776,-6.710490676655653,554323.2777777775,12.06692224108884,-5537291.499999998,-0.058060398061489424
2015-10-25,-6396521.288888887,-7.065310725216574,552043.9111111118,12.007231935424262,-5844477.377777775,-0.061435595320438026
2015-10-26,-6114493.98888889,-6.745366514313138,546401.833333333,11.87447072023136,-5568092.1555555565,-0.058458394468182844
2015-10-27,-6172246.455555558,-6.8006401979775335,542261.2222222225,11.772601897832729,-5629985.233333336,-0.05903561316894827
2015-10-28,-6191347.36666666,-6.812649206591765,537060.6333333328,11.650549947760174,-5654286.733333327,-0.05921344234882467
2015-10-29,-6165675.4111111015,-6.772346795603104,531892.1888888893,11.529568230030861,-5633783.222222213,-0.05889676675245194
2015-10-30,-6016521.322222233,-6.584447331392069,527873.2444444438,11.430511480022616,-5488648.077777789,-0.05717768062221869
2015-10-31,-6267035.333333328,-6.853362061802177,522572.3111111112,11.307249850156698,-5744463.022222217,-0.059796888288834074
2015-11-01,-6591256.411111116,-7.2272849521929805,517313.888888889,11.186716954291072,-6073942.522222227,-0.06338645736626954
2015-11-02,-6302575.1888888925,-6.904005240326555,513033.0666666669,11.086461364958643,-5789542.122222226,-0.060360393094333574
2015-11-03,-6279619.644444436,-6.8675276038813236,506121.6777777779,10.93420407691879,-5773497.9666666575,-0.060097971834585755
2015-11-04,-6455575.599999994,-7.0594837289650565,495112.2444444443,10.698329738377048,-5960463.355555549,-0.06204074105922881
2015-11-05,-6517291.266666666,-7.111475228903319,487193.2333333334,10.517918414491108,-6030098.033333332,-0.06263296419073827
2015-11-06,-6450698.7111110985,-7.010956332556302,479876.6444444447,10.348354284553224,-5970822.066666653,-0.061780298474968944
2015-11-07,-6772401.077777773,-7.353384490849899,472725.07777777733,10.184513057398052,-6299675.999999996,-0.06511918369339216
2015-11-08,-7186735.177777782,-7.8219505537047525,463905.6222222224,9.986277054094069,-6722829.55555556,-0.06964894609322071
2015-11-09,-7066494.933333337,-7.683392123890578,449963.8555555558,9.686380396941727,-6616531.0777777815,-0.06848251543158353
2015-11-10,-7147809.322222218,-7.760184268351006,443603.6777777774,9.540955058411642,-6704205.6444444405,-0.06928822412539534
2015-11-11,-7113547.977777779,-7.711233308715734,441193.111111111,9.478653617249078,-6672354.866666668,-0.06885548158835386
2015-11-12,-7062915.277777776,-7.638364158701144,438335.12222222146,9.407905902056072,-6624580.155555555,-0.06820635612007701
2015-11-13,-6931075.166666672,-7.464469330029323,436922.833333333,9.364547884092254,-6494152.333333339,-0.06659307333550789
2015-11-14,-7194708.266666666,-7.740968953064496,433127.86666666623,9.273676300472333,-6761580.399999999,-0.06926872152490353
2015-11-15,-7462074.87777777,-8.045044357268635,430448.0111111114,9.20726895835182,-7031626.866666659,-0.07217197532176423
2015-11-16,-7100747.300000012,-7.6431753448123,427391.3111111112,9.133289849796451,-6673355.988888901,-0.06838674426656445
2015-11-17,-7030533.1111111045,-7.55451631695678,425269.9333333336,9.07828522779654,-6605263.177777771,-0.06757409746546338
