Date,Desktop/Delta,Desktop/Delta%,Android/Delta,Android/Delta%,Total/Delta,Total/Delta%
2015-09-01,-4694677.700000003,-5.381135364541776,736172.0666666664,16.22127040179788,-3958505.6333333366,-0.043129635572799536
2015-09-02,-5792956.5,-6.630879509304302,722208.2333333339,15.906086152285944,-5070748.266666666,-0.05517453891442943
2015-09-03,-6043189.066666663,-6.911410000034729,710585.833333333,15.648420705350727,-5332603.23333333,-0.057976436036950046
2015-09-04,-6388991.833333328,-7.308848333957268,699726.0333333332,15.408412747884562,-5689265.799999995,-0.06186965357702216
2015-09-05,-7434009.36666666,-8.57824935520826,684679.3999999999,15.0764506059413,-6749329.966666659,-0.07400375710917395
2015-09-06,-7674300.966666669,-8.910722155758375,668147.166666667,14.70782228915955,-7006153.800000002,-0.07727334741651395
2015-09-07,-6612100.933333337,-7.5926704390582955,654585.2333333334,14.383436511072944,-5957515.700000004,-0.06501263143629266
2015-09-08,-6808418.533333346,-7.713101963695289,640226.3666666667,14.044670934137413,-6168192.166666679,-0.06644659240718091
2015-09-09,-8069966.266666666,-9.117010378070356,618771.7333333334,13.561169043120996,-7451194.533333332,-0.08005296463536611
2015-09-10,-8649014.73333332,-9.745188563967709,593569.4333333336,12.998723120655429,-8055445.299999986,-0.0863225167805731
2015-09-11,-9028839.599999994,-10.165148842101138,581654.0333333337,12.726128617162475,-8447185.56666666,-0.09044863973241792
2015-09-12,-9655973.86666666,-10.941291291225667,578069.5333333337,12.639754802509042,-9077904.333333327,-0.09779482230547024
2015-09-13,-9411628.433333337,-10.710690240268757,576512.4333333336,12.592930289910168,-8835116.000000004,-0.09556702750976818
2015-09-14,-7915696.099999994,-8.884282927239184,576647.5666666669,12.568836822570114,-7339048.533333328,-0.07833694305138973
2015-09-15,-7977811.766666681,-8.841923403392151,577389.2999999993,12.54986957551593,-7400422.466666682,-0.07804058746209289
2015-09-16,-8914707.733333334,-9.856711114198205,559047.5,12.168403270240626,-8355660.233333334,-0.08791981613438543
