Date,Desktop/Delta,Desktop/Delta%,Android/Delta,Android/Delta%
2015-07-20,-7111921.857142851,-8.269957399450425,525916.8571428573,11.99535697824053
2015-07-21,-7365840.285714284,-8.593716775127538,547084.2857142854,12.459807531650563
2015-07-22,-7544819.428571433,-8.825776902696383,577426.8571428568,13.112137427805573
2015-07-23,-7385297.428571433,-8.621158952047958,597786.5714285714,13.520413323079222
2015-07-24,-7016730,-8.155491657629167,620316,13.962712438632341
2015-07-25,-6515637.428571433,-7.533070092948864,644821.7142857141,14.440085165993
2015-07-26,-6215473.428571418,-7.170325578175457,661915.5714285714,14.774054089628406
2015-07-27,-5582101.142857149,-6.406536622669313,678611.5714285718,15.084975148417856
2015-07-28,-4280828.142857149,-4.896109684945714,726243.5714285714,16.091372010871613
2015-07-29,-2928348.7142857164,-3.3377119574703453,760473.8571428568,16.819789359138777
2015-07-30,-2119807,-2.4113916831186004,798145.2857142859,17.62803198782354
2015-07-31,-1476391.7142857015,-1.6766612910660492,830581.8571428573,18.31876782721567
2015-08-01,-1064385.8571428657,-1.2087644098883434,853714.7142857141,18.832458141290253
2015-08-02,-1056532.8571428508,-1.2002621431867306,875678.2857142854,19.308114869673997
2015-08-03,-1214996.1428571492,-1.3833255153371593,898434,19.818389772650818
2015-08-04,-1885581.2857142836,-2.1484655543571094,882455.9999999995,19.450293292930535
2015-08-05,-2769974.8571428657,-3.170863558268771,881118.5714285718,19.400498022749165
2015-08-06,-2687220.2857142836,-3.089148090451405,891348.4285714286,19.66120075005402
2015-08-07,-1770746.1428571343,-2.042337738296189,922958.1428571427,20.389095615340892
2015-08-08,-780803.8571428657,-0.9020480312160517,958769.8571428573,21.19591131798587
2015-08-09,-256358.85714285076,-0.29641328514501336,979535.1428571427,21.668325691202373
2015-08-10,811909.5714285821,0.9403438378256589,1023917.2857142859,22.66269114257964
2015-08-11,2568673,2.9847469856326465,1086509.8571428568,24.068045352893577
2015-08-12,3331983.8571428508,3.872388398280761,1093555.5714285714,24.244765398483935
2015-08-13,1744592.571428582,2.039925495179995,1049489.9999999995,23.235139671672464
2015-08-14,-140045.85714285076,-0.16451149119195016,993383.2857142859,21.93879862533311
2015-08-15,-1390957.7142857015,-1.6418235573836777,936502,20.62811021866348
2015-08-16,-2498866.1428571492,-2.9525181927179402,894867.7142857146,19.647344371597907
2015-08-17,-4479273.142857134,-5.31420745240104,826362.8571428573,18.099583473093464
2015-08-18,-7061323.428571433,-8.382779111198808,739963.5714285718,16.173594426717152
2015-08-19,-8935911.142857134,-10.615690349669748,702185.0000000005,15.308675542674003
2015-08-20,-9116989.285714284,-10.783242633701704,682462.8571428568,14.927494206785866
2015-08-21,-9607963,-11.325362943193634,647543.8571428568,14.23413482701916
2015-08-22,-10700247.285714284,-12.561432370006095,614530.4285714286,13.562168420770545
2015-08-23,-10979673.85714285,-12.854158602544269,589205.4285714286,13.04765174011218
2015-08-24,-10886936.571428567,-12.64437118324099,564646.5714285714,12.540411826001716
2015-08-25,-11206637.571428567,-12.941579337560016,538972.9999999995,12.006697482324311
2015-08-26,-10553991.714285716,-12.1276168994605,511036.1428571427,11.419169236143846
2015-08-27,-10022679,-11.435707514200704,485547.4285714282,10.801410526102355
2015-08-28,-9497218.285714298,-10.773124707315638,502022.99999999953,11.126530848998987
2015-08-29,-9150909.571428567,-10.358219813192052,512113.71428571455,11.324839294228713
2015-08-30,-8876710.571428567,-10.025862871060804,515470.7142857141,11.377094823927047
2015-08-31,-8573578.285714284,-9.65313962401129,517997.8571428568,11.401705212880554
2015-09-01,-7398976.428571418,-8.287031539141196,524253.2857142859,11.505066806249214
2015-09-02,-7612836.7142857015,-8.478295229140839,529487.4285714286,11.58835159327594
2015-09-03,-7773648.428571418,-8.619127862509288,561174.1428571427,12.262131653989426
2015-09-04,-7936067.428571433,-8.760465779435876,565631.4285714282,12.331159440488214
2015-09-05,-8200338.142857134,-9.021182369906086,570730.7142857141,12.407814070391552
2015-09-06,-8121113.428571433,-8.906648444528779,570518.1428571423,12.387591647737677
2015-09-07,-8793163,-9.702042786815435,567970,12.332096967040327
2015-09-08,-9315248.14285715,-10.248832542032845,568339.2857142854,12.336158206455693
2015-09-09,-8946703.714285716,-9.801423108469479,580618.0000000005,12.584004418662387
2015-09-10,-8599151.285714284,-9.37845639770686,585011,12.653572705381855
2015-09-11,-7981649.428571433,-8.668654730715037,587532.7142857141,12.672480965067617
2015-09-12,-7778112.428571418,-8.423078577446459,592590.5714285709,12.732551481294562
2015-09-13,-7585735,-8.190567782089488,600663,12.837145817941945
2015-09-14,-6977794.142857134,-7.475272708659462,602483.4285714286,12.823470878001212
2015-09-15,-7510551.428571433,-8.074198205863665,625566,13.209410949879215
2015-09-16,-8099593.714285716,-8.751633114273345,570401.8571428573,12.135259561439812
2015-09-17,-8614743,-9.354736769826879,522788.5714285718,11.202835730039316
2015-09-18,-9353640.714285716,-10.19342625260269,464326.42857142864,10.034739072888083
2015-09-19,-9729149.714285716,-10.633393291541735,409051.42857142864,8.911601399546186
2015-09-20,-10193369,-11.18037657296513,348808.5714285718,7.665617264344189
2015-09-21,-10229837.142857134,-11.200098894021338,288126,6.388840282572415
2015-09-22,-10322090.428571418,-11.273579226913895,214137.28571428545,4.810064572705611
2015-09-23,-10428316.428571433,-11.371894412556454,210433.4285714291,4.716278077375667
2015-09-24,-10837584.142857134,-11.854294445912116,191858,4.301921396719689
2015-09-25,-10868291.857142866,-11.892146368638613,184781.5714285709,4.139674964700747
2015-09-26,-10969896.428571433,-11.997804638822865,181702.57142857183,4.0668190756342915
2015-09-27,-10926350.857142866,-11.947827651254867,185448.71428571455,4.145363711525397
2015-09-28,-10629466.714285716,-11.591626257062655,198817.71428571455,4.431972450083457
2015-09-29,-10260002.571428582,-11.151175422562147,206954.14285714272,4.6030420044554194
2015-09-30,-10067181.428571433,-10.892981061662754,208807.28571428545,4.6334536934701305
2015-10-01,-9475825.85714285,-10.189302804757595,225892.85714285728,4.989939020657293
2015-10-02,-9283824,-9.983303749341756,233838.14285714272,5.149496168787582
2015-10-03,-8499018.428571433,-9.126224140766208,245527.57142857183,5.386983988177244
2015-10-04,-8031014.428571433,-8.603628150374895,257418,5.627537238915037
2015-10-05,-7775609.857142866,-8.32733146970569,251086.71428571455,5.478897056529148
2015-10-06,-6084448.142857149,-6.5174213949801665,277037.4285714282,6.032862056977793
2015-10-07,-3732820.8571428657,-3.99726296345939,346430.71428571455,7.52716731879986
2015-10-08,-2751443.571428567,-2.9352573988009567,346250.1428571427,7.501395514323625
2015-10-09,-1975027.1428571492,-2.095733271820132,387159.7142857136,8.361648055353538
2015-10-10,-1781989.428571418,-1.8856331723849442,416679.1428571427,8.98479322559071
2015-10-11,-1700217.5714285672,-1.7992576523543125,440994.8571428573,9.501931389345396
2015-10-12,-2005263.8571428508,-2.13511426569489,479738.4285714291,10.320021339672964
2015-10-13,-2785672.428571433,-2.9578572336506435,484656.42857142864,10.394505873887981
2015-10-14,-4375213,-4.642906049362793,453129,9.689098419843612
2015-10-15,-4434323,-4.698948920119241,488420.28571428545,10.414160110848258
2015-10-16,-4613837.857142851,-4.88108356983798,481707,10.23707909735649
2015-10-17,-4809396.428571433,-5.082778130422049,478052.4285714291,10.125175011521202
2015-10-18,-4664713.714285716,-4.917674936740183,478529.1428571427,10.101062979028699
2015-10-19,-3805939.1428571492,-3.9712010370971864,479731.8571428573,10.086456508615363
2015-10-20,-4158045.1428571492,-4.335955078408049,478870,10.034164334604293
2015-10-21,-4237603.571428567,-4.411794799534479,467783.5714285709,9.780173429299033
2015-10-22,-4479158.571428567,-4.672623347859601,455602,9.513314032157139
2015-10-23,-4216157.428571433,-4.402338683439922,455556.8571428573,9.48851179402612
2015-10-24,-4084185.1428571343,-4.270814565586475,461374.4285714282,9.57318787336108
2015-10-25,-3778430.2857142836,-3.94238858366109,474765,9.788649030915336
2015-10-26,-3819610.1428571492,-3.983716243273188,470204.1428571427,9.658749588250783
2015-10-27,-3674136.571428567,-3.828244016385492,476092.71428571455,9.747558729596419
2015-10-28,-3367306.7142857164,-3.502640101297666,476000.71428571455,9.730893024499244
2015-10-29,-3231691,-3.3536176629208083,475250.8571428573,9.703564549552555
2015-10-30,-3427913.571428567,-3.5540935494126167,471058.85714285634,9.616082777216302
2015-10-31,-3311940,-3.428387335742516,467451.5714285718,9.553364799883504
2015-11-01,-3718733.428571433,-3.8581207447147032,451905.14285714366,9.265222039150457
2015-11-02,-4303768.142857149,-4.482618625718084,453429,9.306270661279395
2015-11-03,-4150487.2857142836,-4.319203263144384,416467.28571428545,8.616931621796375
2015-11-04,-6084440.428571418,-6.455181005235476,352012,7.383618777580502
2015-11-05,-6291521.428571433,-6.66107841089337,348257.2857142864,7.304506403380952
2015-11-06,-6363084.571428582,-6.718377672651489,341670.71428571455,7.1641145197946985
2015-11-07,-6753918.428571433,-7.116811702948356,338642.1428571427,7.087199223548671
2015-11-08,-6844246,-7.198595300844213,337239.5714285709,7.04194879083844
2015-11-09,-7253152.285714284,-7.648335337051877,275620,5.811475988812244
2015-11-10,-7830454.857142851,-8.272898160971529,289752.7142857136,6.066461172110959
2015-11-11,-6715052.285714284,-7.005355676038719,356244,7.3307908130261
2015-11-12,-7155211.714285716,-7.477337775682566,365207.5714285718,7.487504146539763
2015-11-13,-7567226.428571433,-7.916362285997984,384238.71428571455,7.83174321249126
2015-11-14,-7928530,-8.303131084754197,385760.7142857136,7.830728039851159
2015-11-15,-8019355,-8.394268727847999,396193.5714285709,8.008828624977832
2015-11-16,-7501711,-7.796424187603024,449745.1428571427,8.969095438188878
2015-11-17,-7428074.142857149,-7.700853523332592,466465.4285714282,9.260925106647498
2015-11-18,-7559515.857142851,-7.805037459860678,474410.1428571427,9.401888151405437
2015-11-19,-7698281.571428582,-7.9667026598567965,455235.8571428573,9.051868712565701
2015-11-20,-7730363.571428567,-8.01401023617772,431245.1428571427,8.611409270895889
2015-11-21,-7594341.571428567,-7.8718966168024735,418544.85714285634,8.383486744665689
2015-11-22,-7782034.142857149,-8.081143312778002,391808.71428571455,7.88244740496037
2015-11-23,-7934491.428571418,-8.258332916933218,376793.4285714291,7.601678035710132
2015-11-24,-8307494.428571433,-8.675158075165903,364011.71428571455,7.35521693973186
2015-11-25,-8544578.714285716,-8.94795329236992,354037.71428571455,7.156411665371697
2015-11-26,-9149577.571428567,-9.668519791086078,376872.4285714291,7.570480524652632
2015-11-27,-8854676,-9.417523780053074,402796.1428571427,8.040414047076622
2015-11-28,-8411216.142857134,-8.956921539552416,426416.2857142864,8.455950269534465
2015-11-29,-8198474.571428582,-8.720446157214951,463915.1428571427,9.123376711855586
2015-11-30,-7835130.857142851,-8.303413158587315,502773.4285714282,9.79855548584677
2015-12-01,-7646267,-8.080267750209412,521489.5714285709,10.097510068252834
2015-12-02,-7148906.428571418,-7.516553426774303,547037.1428571427,10.542229706663447
2015-12-03,-6038264,-6.271228212770833,572878.2857142854,10.996023343065318
2015-12-04,-5974773.571428582,-6.152890341688073,588413.7142857146,11.271485803233917
2015-12-05,-6163396.142857149,-6.337973904700678,603095,11.540907809533559
2015-12-06,-6163620.285714284,-6.342430107271918,610260.8571428573,11.672138568792166
2015-12-07,-6409034.714285716,-6.623320027957663,616355.4285714282,11.799978902470633
2015-12-08,-6350850.285714284,-6.600108463938435,604979.5714285709,11.644310210939324
2015-12-09,-6407896.142857134,-6.662438943771466,582665.8571428573,11.257490275772648
2015-12-10,-6466293.571428567,-6.727133532426258,556948,10.801267027401902
2015-12-11,-6589972.142857149,-6.8592439745316645,524806.7142857146,10.224988337132729
2015-12-12,-6693794.428571433,-6.969990270066015,501041.4285714291,9.796627434422641
2015-12-13,-6574158.857142866,-6.84069626752816,478655,9.393798685725814
2015-12-14,-6266813,-6.50024211749851,455133.1428571427,8.960380967755858
